,State,Senator,party,Born,assumed_office,term_up,st,population,Religion,gender,color,race
0,Alabama,Richard Shelby,Republican,(age 86),"January 3, 1987",2022,AL,4903185,Presbyterian,1,red,1
1,Alabama,Tommy Tuberville,Republican,(age 66),"January 3, 2021",2026,AL,4903185,Restorationist,1,red,1
2,Alaska,Lisa Murkowski,Republican,(age 63),"December 20, 2002",2022,AK,731545,Catholic,2,red,1
3,Alaska,Dan Sullivan,Republican,(age 56),"January 3, 2015",2026,AK,731545,Catholic,1,red,1
4,Arizona,Kyrsten Sinema,Democratic,(age 44),"January 3, 2019",2024,AZ,7278717,Unaffiliated,2,blue,1
5,Arizona,Mark Kelly,Democratic,(age 56),"December 2, 2020",2022,AZ,7278717,Catholic,1,blue,1
6,Arkansas,John Boozman,Republican,(age 70),"January 3, 2011",2022,AR,3017804,Baptist,1,red,1
7,Arkansas,Tom Cotton,Republican,(age 43),"January 3, 2015",2026,AR,3017804,Methodist,1,red,1
8,California,Dianne Feinstein,Democratic,(age 87),"November 10, 1992",2024,CA,39512223,Jewish,2,blue,1
9,California,Alex Padilla,Democratic,(age 47),"January 20, 2021",2022,CA,39512223,Catholic,1,blue,1
10,Colorado,Michael Bennet,Democratic,(age 56),"January 21, 2009",2022,CO,5758736,Unknown,1,blue,1
11,Colorado,John Hickenlooper,Democratic,(age 69),"January 3, 2021",2026,CO,5758736,Quaker,1,blue,1
12,Connecticut,Richard Blumenthal,Democratic,(age 75),"January 3, 2011",2022,CT,3565287,Jewish,1,blue,1
13,Connecticut,Chris Murphy,Democratic,(age 47),"January 3, 2013",2024,CT,3565287,Protestant,1,blue,1
14,Delaware,Tom Carper,Democratic,(age 74),"January 3, 2001",2024,DE,973764,Presbyterian,1,blue,1
15,Delaware,Chris Coons,Democratic,(age 57),"November 15, 2010",2026,DE,973764,Presbyterian,1,blue,1
16,Florida,Marco Rubio,Republican,(age 49),"January 3, 2011",2022,FL,21477737,Catholic,1,red,1
17,Florida,Rick Scott,Republican,(age 68),"January 8, 2019",2024,FL,21477737,Evangelical,1,red,1
18,Georgia,Jon Ossoff,Democratic,(age 34),"January 20, 2021",2026,GA,10617423,Jewish,1,blue,1
19,Georgia,Raphael Warnock,Democratic,(age 51),"January 20, 2021",2022,GA,10617423,Baptist,1,blue,2
20,Hawaii,Brian Schatz,Democratic,(age 48),"December 26, 2012",2022,HI,1415872,Jewish,1,blue,1
21,Hawaii,Mazie Hirono,Democratic,(age 73),"January 3, 2013",2024,HI,1415872,Buddhist,2,blue,4
22,Idaho,Mike Crapo,Republican,(age 69),"January 3, 1999",2022,ID,1787065,Latter-day Saint,1,red,1
23,Idaho,Jim Risch,Republican,(age 77),"January 3, 2009",2026,ID,1787065,Catholic,1,red,1
24,Illinois,Dick Durbin,Democratic,(age 76),"January 3, 1997",2026,IL,12671821,Catholic,1,blue,1
25,Illinois,Tammy Duckworth,Democratic,(age 52),"January 3, 2017",2022,IL,12671821,Unknown,2,blue,4
26,Indiana,Todd Young,Republican,(age 48),"January 3, 2017",2022,IN,6732219,Protestant,1,red,1
27,Indiana,Mike Braun,Republican,(age 66),"January 3, 2019",2024,IN,6732219,Catholic,1,red,1
28,Iowa,Chuck Grassley,Republican,(age 87),"January 3, 1981",2022,IA,3155070,Baptist,1,red,1
29,Iowa,Joni Ernst,Republican,(age 50),"January 3, 2015",2026,IA,3155070,Lutheran,2,red,1
30,Kansas,Jerry Moran,Republican,(age 66),"January 3, 2011",2022,KS,2913314,Methodist,1,red,1
31,Kansas,Roger Marshall,Republican,(age 60),"January 3, 2021",2026,KS,2913314,Protestant,1,red,1
32,Kentucky,Mitch McConnell,Republican,(age 78),"January 3, 1985",2026,KY,4467673,Baptist,1,red,1
33,Kentucky,Rand Paul,Republican,(age 58),"January 3, 2011",2022,KY,4467673,Presbyterian,1,red,1
34,Louisiana,Bill Cassidy,Republican,(age 63),"January 3, 2015",2026,LA,4648794,Evangelical,1,red,1
35,Louisiana,John Kennedy,Republican,(age 69),"January 3, 2017",2022,LA,4648794,Methodist,1,red,1
36,Maine,Susan Collins,Republican,(age 68),"January 3, 1997",2026,ME,1344212,Catholic,2,red,1
