key,st,state,baptist family (et),methodist family (et),non-denominational family (et),lutheran family (et),presbyterian (et),pentecostal family (et),episcopalian/anglican family (et),restorationist family (et),congregationalist family (et),holiness family (et),reformed family (et),adventist family (et),anabaptist family (et),pietist family (et),other evangelical,nonspecific protestant family (et),baptist family (mt),methodist family (mt),non-denominational family (mt),lutheran family (mt),presbyterian family (mt),episcopalian/anglican family (mt),restorationist family (mt),congregationalist family (mt),reformed family (mt),anabaptist family (mt),friends family (mt),nonspecific protestant family (mt),baptist family (hbpt),methodist family (hbpt),pentecostal family (hbpt),holiness family (hbpt),non-denominational family (hbpt),nonspecific protestant (hbpt),catholic,mormon-lds,other mormom,greek orthodox,russian orthodox,orthodox church in america,other orthodox christian,jehovah's witness,other christian,jewish,muslim,buddhist,hindu,other world religions,unitarians,new age,native american religions,atheist,agnostic,nothing in particular
0,st48,Washington,3,0,8,2,1,4,0,1,0,1,0,1,0,0,0,1,1,1,1,3,1,1,0,1,0,0,0,3,1,0,0,0,0,0,17,3,0,0,0,0,0,2,1,1,0,1,1,0,1,1,0,5,5,22
1,st38,Oregon,8,0,7,1,1,6,0,2,0,1,0,1,1,0,1,2,1,2,1,1,1,2,1,0,0,0,0,4,0,0,0,0,0,0,12,3,0,1,0,0,0,0,1,2,1,0,0,1,2,1,0,5,8,18
2,st5,California,3,0,5,1,1,4,0,1,0,0,0,1,0,0,0,3,2,1,1,1,1,1,0,0,0,0,0,2,1,0,1,0,0,0,28,1,0,0,0,0,0,1,1,2,1,2,2,1,1,0,0,4,5,18
3,st2,Alaska,6,0,5,1,2,2,0,1,0,1,0,0,0,1,0,1,1,1,2,3,1,1,0,0,0,0,0,2,0,1,0,1,1,0,16,5,0,1,4,0,0,0,0,0,0,1,0,1,2,1,1,5,6,20
4,st12,Hawaii,4,0,7,1,1,3,0,3,0,0,0,0,0,0,1,5,1,1,1,2,1,1,0,0,0,0,0,5,0,0,0,0,1,1,20,3,0,0,0,0,0,1,1,0,0,8,0,0,1,0,0,2,5,20
5,st3,Arizona,5,0,8,3,1,3,0,1,0,0,0,0,0,0,0,2,1,2,1,2,1,1,0,0,0,0,0,2,1,0,0,0,0,0,21,5,0,0,0,0,0,1,0,2,1,1,1,0,1,1,0,3,4,19
6,st29,Nevada,4,0,6,2,0,5,0,1,0,0,0,0,0,0,0,3,3,1,1,1,1,2,0,0,0,0,0,2,3,0,2,0,0,0,25,4,0,0,0,0,0,1,0,5,0,0,0,0,1,2,0,5,5,18
7,st13,Idaho,6,0,3,1,0,4,0,1,0,2,0,0,0,0,0,4,3,2,3,2,0,1,1,0,0,0,0,4,0,0,0,0,0,0,10,19,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2,3,22
8,st27,Montana,7,0,7,5,0,3,0,2,0,1,0,1,0,0,1,1,1,4,1,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,17,4,1,0,0,0,0,1,0,0,0,1,0,0,1,1,2,4,5,21
9,st51,Wyoming,6,0,8,4,1,2,0,0,0,0,0,1,1,0,0,3,2,5,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0,0,14,9,0,0,0,0,0,3,1,0,0,1,0,0,1,1,1,3,3,20
