key,st,state,senator,party,born,assumed office,term up,population
0,st1,Alabama,Richard Shelby,Republican,86,1987-01-03,2022,4903185
1,st1,Alabama,Tommy Tuberville,Republican,66,2021-01-03,2026,4903185
2,st2,Alaska,Lisa Murkowski,Republican,63,2002-12-20,2022,731545
3,st2,Alaska,Dan Sullivan,Republican,56,2015-01-03,2026,731545
4,st3,Arizona,Kyrsten Sinema,Democratic,44,2019-01-03,2024,7278717
5,st3,Arizona,Mark Kelly,Democratic,56,2020-12-02,2022,7278717
6,st4,Arkansas,John Boozman,Republican,70,2011-01-03,2022,3017804
7,st4,Arkansas,Tom Cotton,Republican,43,2015-01-03,2026,3017804
8,st5,California,Dianne Feinstein,Democratic,87,1992-11-10,2024,39512223
9,st5,California,Alex Padilla,Democratic,47,2021-01-20,2022,39512223
10,st6,Colorado,Michael Bennet,Democratic,56,2009-01-21,2022,5758736
11,st6,Colorado,John Hickenlooper,Democratic,68,2021-01-03,2026,5758736
12,st7,Connecticut,Richard Blumenthal,Democratic,74,2011-01-03,2022,3565287
13,st7,Connecticut,Chris Murphy,Democratic,47,2013-01-03,2024,3565287
14,st8,Delaware,Tom Carper,Democratic,74,2001-01-03,2024,973764
15,st8,Delaware,Chris Coons,Democratic,57,2010-11-15,2026,973764
16,st10,Florida,Marco Rubio,Republican,49,2011-01-03,2022,21477737
17,st10,Florida,Rick Scott,Republican,68,2019-01-08,2024,21477737
18,st11,Georgia,Jon Ossoff,Democratic,33,2021-01-20,2026,10617423
19,st11,Georgia,Raphael Warnock,Democratic,51,2021-01-20,2022,10617423
20,st12,Hawaii,Brian Schatz,Democratic,48,2012-12-26,2022,1415872
21,st12,Hawaii,Mazie Hirono,Democratic,73,2013-01-03,2024,1415872
22,st13,Idaho,Mike Crapo,Republican,69,1999-01-03,2022,1787065
23,st13,Idaho,Jim Risch,Republican,77,2009-01-03,2026,1787065
24,st14,Illinois,Dick Durbin,Democratic,76,1997-01-03,2026,12671821
25,st14,Illinois,Tammy Duckworth,Democratic,52,2017-01-03,2022,12671821
26,st15,Indiana,Todd Young,Republican,48,2017-01-03,2022,6732219
27,st15,Indiana,Mike Braun,Republican,66,2019-01-03,2024,6732219
28,st16,Iowa,Chuck Grassley,Republican,87,1981-01-03,2022,3155070
29,st16,Iowa,Joni Ernst,Republican,50,2015-01-03,2026,3155070
30,st17,Kansas,Jerry Moran,Republican,66,2011-01-03,2022,2913314
31,st17,Kansas,Roger Marshall,Republican,60,2021-01-03,2026,2913314
32,st18,Kentucky,Mitch McConnell,Republican,78,1985-01-03,2026,4467673
33,st18,Kentucky,Rand Paul,Republican,58,2011-01-03,2022,4467673
34,st19,Louisiana,Bill Cassidy,Republican,63,2015-01-03,2026,4648794
35,st19,Louisiana,John Kennedy,Republican,69,2017-01-03,2022,4648794
36,st20,Maine,Susan Collins,Republican,68,1997-01-03,2026,1344212
37,st20,Maine,Angus King,Independent,76,2013-01-03,2024,1344212
38,st21,Maryland,Ben Cardin,Democratic,77,2007-01-03,2024,6045680
39,st21,Maryland,Chris Van Hollen,Democratic,62,2017-01-03,2022,6045680
40,st22,Massachusetts,Elizabeth Warren,Democratic,71,2013-01-03,2024,6892503
41,st22,Massachusetts,Ed Markey,Democratic,74,2013-07-16,2026,6892503
42,st23,Michigan,Debbie Stabenow,Democratic,70,2001-01-03,2024,9986857
43,st23,Michigan,Gary Peters,Democratic,62,2015-01-03,2026,9986857
44,st24,Minnesota,Amy Klobuchar,Democratic,60,2007-01-03,2024,5639632
45,st24,Minnesota,Tina Smith,Democratic,62,2018-01-03,2026,5639632
46,st25,Mississippi,Roger Wicker,Republican,69,2007-12-31,2024,2976149
47,st25,Mississippi,Cindy Hyde-Smith,Republican,61,2018-04-09,2026,2976149
48,st26,Missouri,Roy Blunt,Republican,71,2011-01-03,2022,6137428
49,st26,Missouri,Josh Hawley,Republican,41,2019-01-03,2024,6137428
50,st27,Montana,Jon Tester,Democratic,64,2007-01-03,2024,1068778
51,st27,Montana,Steve Daines,Republican,58,2015-01-03,2026,1068778
