key,st,state
st1,al,Alabama
st2,ak,Alaska
st3,az,Arizona
st4,ar,Arkansas
st5,ca,California
st6,co,Colorado
st7,ct,Connecticut
st8,de,Delaware
st9,dc,District of Columbia
st10,fl,Florida
st11,ga,Georgia
st12,hi,Hawaii
st13,id,Idaho
st14,il,Illinois
st15,in,Indiana
st16,ia,Iowa
st17,ks,Kansas
st18,ky,Kentucky
st19,la,Louisiana
st20,me,Maine
st21,md,Maryland
st22,ma,Massachusetts
st23,mi,Michigan
st24,mn,Minnesota
st25,ms,Mississippi
st26,mo,Missouri
st27,mt,Montana
st28,ne,Nebraska
st29,nv,Nevada
st30,nh,New Hampshire
st31,nj,New Jersey
st32,nm,New Mexico
st33,ny,New York
st34,nc,North Carolina
st35,nd,North Dakota
st36,oh,Ohio
st37,ok,Oklahoma
st38,or,Oregon
st39,pa,Pennsylvania
st40,ri,Rhode Island
st41,sc,South Carolina
st42,sd,South Dakota
st43,tn,Tennessee
st44,tx,Texas
st45,ut,Utah
st46,vt,Vermont
st47,va,Virginia
st48,wa,Washington
st49,wv,West Virginia
st50,wi,Wisconsin
st51,wy,Wyoming
