st,states
al,ALABAMA
ak,ALASKA
as,AMERICAN SAMOA
az,ARIZONA
ar,ARKANSAS
ca,CALIFORNIA
co,COLORADO
ct,CONNECTICUT
de,DELAWARE
dc,DISTRICT OF COLUMBIA
fl,FLORIDA
ga,GEORGIA
gu,GUAM
hi,HAWAII
id,IDAHO
il,ILLINOIS
in,INDIANA
ia,IOWA
ks,KANSAS
ky,KENTUCKY
la,LOUISIANA
me,MAINE
md,MARYLAND
ma,MASSACHUSETTS
mi,MICHIGAN
mn,MINNESOTA
ms,MISSISSIPPI
mo,MISSOURI
mt,MONTANA
ne,NEBRASKA
nv,NEVADA
nh,NEW HAMPSHIRE
nj,NEW JERSEY
nm,NEW MEXICO
ny,NEW YORK
nc,NORTH CAROLINA
nd,NORTH DAKOTA
mp,NORTHERN MARIANA IS
oh,OHIO
ok,OKLAHOMA
or,OREGON
pa,PENNSYLVANIA
pr,PUERTO RICO
ri,RHODE ISLAND
sc,SOUTH CAROLINA
sd,SOUTH DAKOTA
tn,TENNESSEE
tx,TEXAS
ut,UTAH
vt,VERMONT
va,VIRGINIA
vi,VIRGIN ISLANDS
wa,WASHINGTON
wv,WEST VIRGINIA
wi,WISCONSIN
wy,WYOMING
