keys,st,states
st1,al,ALABAMA
st2,ak,ALASKA
st3,as,AMERICAN SAMOA
st4,az,ARIZONA
st5,ar,ARKANSAS
st6,ca,CALIFORNIA
st7,co,COLORADO
st8,ct,CONNECTICUT
st9,de,DELAWARE
st10,dc,DISTRICT OF COLUMBIA
st11,fl,FLORIDA
st12,ga,GEORGIA
st13,gu,GUAM
st14,hi,HAWAII
st15,id,IDAHO
st16,il,ILLINOIS
st17,in,INDIANA
st18,ia,IOWA
st19,ks,KANSAS
st20,ky,KENTUCKY
st21,la,LOUISIANA
st22,me,MAINE
st23,md,MARYLAND
st24,ma,MASSACHUSETTS
st25,mi,MICHIGAN
st26,mn,MINNESOTA
st27,ms,MISSISSIPPI
st28,mo,MISSOURI
st29,mt,MONTANA
st30,ne,NEBRASKA
st31,nv,NEVADA
st32,nh,NEW HAMPSHIRE
st33,nj,NEW JERSEY
st34,nm,NEW MEXICO
st35,ny,NEW YORK
st36,nc,NORTH CAROLINA
st37,nd,NORTH DAKOTA
st38,mp,NORTHERN MARIANA IS
st39,oh,OHIO
st40,ok,OKLAHOMA
st41,or,OREGON
st42,pa,PENNSYLVANIA
st43,pr,PUERTO RICO
st44,ri,RHODE ISLAND
st45,sc,SOUTH CAROLINA
st46,sd,SOUTH DAKOTA
st47,tn,TENNESSEE
st48,tx,TEXAS
st49,ut,UTAH
st50,vt,VERMONT
st51,va,VIRGINIA
st52,vi,VIRGIN ISLANDS
st53,wa,WASHINGTON
st54,wv,WEST VIRGINIA
st55,wi,WISCONSIN
st56,wy,WYOMING
