117th Senators,State,Party,Title,Religion,Gender,Birth Year,Assumed Office,WSJ,538,Am Conservative Union,Abortion,immigrants' rights,filibuster,Right to Life
Alex Padilla,California,D,,Catholic,male,3/22/1973,1/20/2021,a business-friendly moderate,technocrat,0,pro-choice,supports,end it,
Amy Klobuchar,Minnesota,DFL,,Congregationalist,female,5/25/1960,,,,5,100,,,0
Angus King Jr.,Maine,I,,Episcopalian,male,3/31/1944,,,,6,100,,,
Ben Cardin,Maryland,D,,Jewish,male,10/5/1943,,,,0,100,,,
Ben Ray Lujan,New Mexico,D,,Catholic,male,6/7/1972,,,,3,100,,,
Ben Sasse,Nebraska,R,,Presbyterian,male,2/22/1972,,,,,0,,,100
Bernie Sanders,Vermont,I,,Jewish,,,,,,,,,,
Bill Cassidy,Louisiana,R,,Evangelical,,,,,,,,,,
Bill Hagerty,Tennessee,R,,Episcopalian,,1959,,,,,,,,
Bob Casey Jr.,Pennsylvania,D,,Catholic,,,,,,,,,,
Bob Menendez,New Jersey,D,,Catholic,,,,,,,,,,
Brian Schatz,Hawaii,D,,Jewish,,,,,,,,,,
Catherine Cortez Masto,Nevada,D,,Catholic,,,,,,,,,,
Chris Coons,Delaware,D,,Presbyterian,,,,,,,,,,
Chris Murphy,Connecticut,D,,Protestant,,,,,,,,,,
Chris Van Hollen,Maryland,D,,Episcopalian,,,,,,,,,,
Chuck Grassley,Iowa,R,,Baptist,,,,,,,,,,
Chuck Schumer,New York,D,Senate Majority Leader,Jewish,,,,,,,,,,
Cindy Hyde-Smith,Mississippi,R,,Baptist,,,,,,,,,,
Cory Booker,New Jersey,D,,Baptist,,,,,,,,,,
Cynthia Lummis,Wyoming,R,,Lutheran,,1954,,,,,,,,
Dan Sullivan,Alaska,R,,Catholic,,,,,,,,,,
Deb Fischer,Nebraska,R,,Presbyterian,,,,,,,,,,
Debbie Stabenow,Michigan,D,,Methodist,,,,,,,,,,
Dianne Feinstein,California,D,,Jewish,,,,,,,,,,
Dick Durbin,Illinois,D,,Catholic,,,,,,,,,,
Ed Markey,Massachusetts,D,,Catholic,,,,,,,,,,
Elizabeth Warren,Massachusetts,D,,Methodist,,,,,,,,,,
