,State,Senator,Party.1,Born,Assumed office,Term up,POPESTIMATE2019
0,Alabama,Richard Shelby,Republican,(age 86),"January 3, 1987",2022,4903185
1,Alabama,Tommy Tuberville,Republican,(age 66),"January 3, 2021",2026,4903185
2,Alaska,Lisa Murkowski,Republican,(age 63),"December 20, 2002[d]",2022,731545
3,Alaska,Dan Sullivan,Republican,(age 56),"January 3, 2015",2026,731545
4,Arizona,Kyrsten Sinema,Democratic,(age 44),"January 3, 2019",2024,7278717
5,Arizona,Mark Kelly,Democratic,(age 56),"December 2, 2020[e]",2022,7278717
6,Arkansas,John Boozman,Republican,(age 70),"January 3, 2011",2022,3017804
7,Arkansas,Tom Cotton,Republican,(age 43),"January 3, 2015",2026,3017804
8,California,Dianne Feinstein,Democratic,(age 87),"November 10, 1992[f]",2024,39512223
9,California,Kamala Harris,Democratic,(age 56),"January 3, 2017",2022,39512223
10,Colorado,Michael Bennet,Democratic,(age 56),"January 21, 2009[g]",2022,5758736
11,Colorado,John Hickenlooper,Democratic,(age 68),"January 3, 2021",2026,5758736
12,Connecticut,Richard Blumenthal,Democratic,(age 74),"January 3, 2011",2022,3565287
13,Connecticut,Chris Murphy,Democratic,(age 47),"January 3, 2013",2024,3565287
14,Delaware,Tom Carper,Democratic,(age 73),"January 3, 2001",2024,973764
15,Delaware,Chris Coons,Democratic,(age 57),"November 15, 2010[h]",2026,973764
16,Florida,Marco Rubio,Republican,(age 49),"January 3, 2011",2022,21477737
17,Florida,Rick Scott,Republican,(age 68),"January 8, 2019[i]",2024,21477737
18,Georgia,Ossoff,Democratic,(age 50),"January 6, 2020[j]",2020 (special),10617423
19,Georgia,Warnock,Democratic,Vacant,Vacant,Vacant,10617423
20,Hawaii,Brian Schatz,Democratic,(age 48),"December 26, 2012[k]",2022,1415872
21,Hawaii,Mazie Hirono,Democratic,(age 73),"January 3, 2013",2024,1415872
22,Idaho,Mike Crapo,Republican,(age 69),"January 3, 1999",2022,1787065
23,Idaho,Jim Risch,Republican,(age 77),"January 3, 2009",2026,1787065
24,Illinois,Dick Durbin,Democratic,(age 76),"January 3, 1997",2026,12671821
25,Illinois,Tammy Duckworth,Democratic,(age 52),"January 3, 2017",2022,12671821
26,Indiana,Todd Young,Republican,(age 48),"January 3, 2017",2022,6732219
27,Indiana,Mike Braun,Republican,(age 66),"January 3, 2019",2024,6732219
28,Iowa,Chuck Grassley,Republican,(age 87),"January 3, 1981",2022,3155070
29,Iowa,Joni Ernst,Republican,(age 50),"January 3, 2015",2026,3155070
30,Kansas,Jerry Moran,Republican,(age 66),"January 3, 2011",2022,2913314
31,Kansas,Roger Marshall,Republican,(age 60),"January 3, 2021",2026,2913314
32,Kentucky,Mitch McConnell,Republican,(age 78),"January 3, 1985",2026,4467673
33,Kentucky,Rand Paul,Republican,(age 58),"January 3, 2011",2022,4467673
34,Louisiana,Bill Cassidy,Republican,(age 63),"January 3, 2015",2026,4648794
35,Louisiana,John Kennedy,Republican,(age 69),"January 3, 2017",2022,4648794
36,Maine,Susan Collins,Republican,(age 68),"January 3, 1997",2026,1344212
37,Maine,Angus King,Independent[a],(age 76),"January 3, 2013",2024,1344212
38,Maryland,Ben Cardin,Democratic,(age 77),"January 3, 2007",2024,6045680
39,Maryland,Chris Van Hollen,Democratic,(age 62),"January 3, 2017",2022,6045680
40,Massachusetts,Elizabeth Warren,Democratic,(age 71),"January 3, 2013",2024,6892503
41,Massachusetts,Ed Markey,Democratic,(age 74),"July 16, 2013[l]",2026,6892503
42,Michigan,Debbie Stabenow,Democratic,(age 70),"January 3, 2001",2024,9986857
43,Michigan,Gary Peters,Democratic,(age 62),"January 3, 2015",2026,9986857
44,Minnesota,Amy Klobuchar,Democratic,(age 60),"January 3, 2007",2024,5639632
45,Minnesota,Tina Smith,Democratic,(age 62),"January 3, 2018[m]",2026,5639632
46,Mississippi,Roger Wicker,Republican,(age 69),"December 31, 2007[n]",2024,2976149
47,Mississippi,Cindy Hyde-Smith,Republican,(age 61),"April 9, 2018[o]",2026,2976149
48,Missouri,Roy Blunt,Republican,(age 71),"January 3, 2011",2022,6137428
49,Missouri,Josh Hawley,Republican,(age 41),"January 3, 2019",2024,6137428
50,Montana,Jon Tester,Democratic,(age 64),"January 3, 2007",2024,1068778
51,Montana,Steve Daines,Republican,(age 58),"January 3, 2015",2026,1068778
52,Nebraska,Deb Fischer,Republican,(age 69),"January 3, 2013",2024,1934408
53,Nebraska,Ben Sasse,Republican,(age 48),"January 3, 2015",2026,1934408
54,Nevada,Catherine Cortez Masto,Democratic,(age 56),"January 3, 2017",2022,3080156
55,Nevada,Jacky Rosen,Democratic,(age 63),"January 3, 2019",2024,3080156
56,New Hampshire,Jeanne Shaheen,Democratic,(age 73),"January 3, 2009",2026,1359711
57,New Hampshire,Maggie Hassan,Democratic,(age 62),"January 3, 2017",2022,1359711
