,state,population
1,Alabama,5024279
2,Alaska,733391
3,Arizona,7151502
4,Arkansas,3011524
5,California,39538223
6,Colorado,5773714
7,Connecticut,3605944
8,Delaware,989948
9,District of Columbia,689545
10,Florida,21538187
11,Georgia,10711908
12,Hawaii,1455271
13,Idaho,1839106
14,Illinois,12812508
15,Indiana,6785528
16,Iowa,3190369
17,Kansas,2937880
18,Kentucky,4505836
19,Louisiana,4657757
20,Maine,1362359
21,Maryland,6177224
22,Massachusetts,7029917
23,Michigan,10077331
24,Minnesota,5706494
25,Mississippi,2961279
26,Missouri,6154913
27,Montana,1084225
28,Nebraska,1961504
29,Nevada,3104614
30,New Hampshire,1377529
31,New Jersey,9288994
32,New Mexico,2117522
33,New York,20201249
34,North Carolina,10439388
35,North Dakota,779094
36,Ohio,11799448
37,Oklahoma,3959353
38,Oregon,4237256
39,Pennsylvania,13002700
40,Rhode Island,1097379
41,South Carolina,5118425
42,South Dakota,886667
43,Tennessee,6910840
44,Texas,29145505
45,Utah,3271616
46,Vermont,643077
47,Virginia,8631393
48,Washington,7705281
49,West Virginia,1793716
50,Wisconsin,5893718
51,Wyoming,576851
52,Puerto Rico,3285874
